usage_id,user_id,feature_name,usage_count,date
1,1,Dashboard,30,2024-04-22
2,1,Dashboard,50,2023-12-22
3,1,Export,11,2024-08-20
4,1,Reports,9,2024-06-24
5,2,APIs,79,2025-02-05
6,2,Team Sharing,57,2025-03-24
7,2,Reports,19,2025-02-09
8,2,APIs,77,2025-04-22
9,2,Dashboard,85,2025-01-20
10,2,Automation,99,2025-06-05
11,3,Export,93,2025-03-22
12,3,Team Sharing,6,2025-03-29
13,3,Automation,2,2025-02-26
14,3,Export,44,2025-01-10
15,3,Team Sharing,23,2025-03-15
16,3,Team Sharing,60,2025-03-22
17,4,Reports,8,2023-07-17
18,4,APIs,49,2023-10-07
19,4,Export,38,2024-06-01
20,4,Automation,9,2024-10-04
21,4,Export,24,2024-04-27
22,4,Reports,25,2023-10-26
23,5,Reports,93,2025-05-29
24,5,APIs,4,2024-12-05
25,5,APIs,9,2025-05-22
26,5,Export,78,2025-04-25
27,5,Automation,37,2024-12-31
28,5,Automation,21,2025-04-09
29,5,Export,71,2025-01-17
30,5,Team Sharing,8,2025-01-08
31,6,Reports,9,2024-09-20
32,6,APIs,67,2024-03-06
33,6,Automation,3,2024-12-15
34,6,Automation,93,2023-12-23
35,7,Reports,42,2024-07-30
36,7,Team Sharing,5,2024-07-08
37,7,Export,14,2025-05-12
38,7,Reports,30,2024-03-31
39,7,Dashboard,49,2025-02-28
40,8,Automation,8,2025-01-30
41,8,APIs,99,2024-01-18
42,8,Automation,16,2024-05-02
43,9,Reports,5,2025-04-14
44,9,Automation,70,2024-12-03
45,9,Dashboard,3,2024-12-29
46,9,Reports,61,2025-01-19
47,9,Automation,83,2024-10-09
48,9,APIs,37,2025-06-05
49,10,Automation,50,2025-03-04
50,10,APIs,96,2024-08-22
51,10,Export,88,2024-10-11
52,10,APIs,79,2025-01-17
53,10,Team Sharing,45,2024-12-22
54,10,Reports,59,2024-10-30
55,10,APIs,20,2025-02-15
56,10,APIs,69,2024-06-29
57,10,Team Sharing,29,2024-09-11
58,10,Export,37,2024-05-22
59,10,Reports,94,2025-01-04
60,10,Export,50,2025-02-11
61,10,Team Sharing,21,2025-03-26
62,11,Reports,3,2024-07-11
63,11,APIs,39,2025-03-26
64,11,Export,6,2024-10-23
65,11,APIs,53,2025-05-05
66,11,Reports,70,2024-10-31
67,11,Export,52,2024-05-09
68,11,Export,81,2024-09-04
69,11,Team Sharing,27,2024-02-29
70,12,APIs,54,2025-05-27
71,12,APIs,94,2025-05-19
72,12,APIs,57,2025-05-20
73,12,APIs,60,2025-05-25
74,12,Team Sharing,44,2025-05-26
75,12,Team Sharing,86,2025-05-21
76,12,APIs,18,2025-05-19
77,12,Reports,68,2025-06-05
78,12,Export,32,2025-05-28
79,13,Reports,25,2024-12-22
80,13,Automation,25,2024-06-02
81,13,Reports,85,2025-03-26
82,13,Automation,47,2024-06-22
83,13,APIs,71,2023-08-20
84,13,APIs,48,2024-05-27
85,14,Team Sharing,28,2025-01-21
86,14,APIs,19,2024-12-19
87,14,APIs,14,2023-12-21
88,14,Automation,84,2025-02-08
89,14,APIs,39,2024-07-19
90,14,Automation,53,2025-01-31
91,14,Dashboard,26,2024-03-17
92,14,Export,44,2025-03-29
93,14,Automation,21,2024-06-06
94,14,Reports,50,2024-04-28
95,14,Automation,56,2025-02-08
96,14,Export,57,2025-03-27
97,14,Dashboard,89,2025-04-07
98,15,APIs,73,2024-07-16
99,15,Reports,23,2025-01-27
100,15,Team Sharing,96,2024-11-18
101,15,Reports,73,2024-09-14
102,15,Export,83,2024-09-08
103,15,APIs,74,2025-02-26
104,16,Export,20,2025-04-29
105,16,APIs,41,2024-08-10
106,16,APIs,32,2023-09-09
107,16,Reports,17,2023-12-05
108,16,APIs,41,2023-10-22
109,16,Automation,98,2023-10-19
110,16,Automation,68,2024-06-11
111,16,Reports,81,2024-09-21
112,16,Dashboard,87,2025-02-28
113,16,Dashboard,9,2024-05-26
114,16,Dashboard,3,2024-06-04
115,16,Dashboard,7,2024-12-25
116,16,Team Sharing,12,2025-04-23
117,16,Team Sharing,46,2023-08-30
118,16,Export,96,2023-11-29
119,17,Export,40,2025-04-20
120,17,Dashboard,47,2025-01-02
121,17,Automation,41,2025-01-29
122,17,Automation,58,2025-02-21
123,17,APIs,44,2025-03-06
124,18,Export,38,2023-12-11
125,18,Team Sharing,13,2024-09-02
126,18,Automation,21,2025-06-04
127,18,Export,21,2025-05-14
128,18,APIs,16,2023-10-03
129,18,Automation,80,2024-02-07
130,18,APIs,21,2024-11-11
131,18,Automation,71,2024-08-18
132,18,Reports,61,2024-11-04
133,18,Reports,36,2024-05-23
134,18,Reports,32,2024-04-19
135,18,Dashboard,85,2024-06-24
136,18,Export,57,2025-05-21
137,18,Dashboard,97,2024-12-14
138,19,Export,49,2024-12-29
139,19,APIs,49,2025-01-27
140,19,APIs,22,2025-04-11
141,20,Dashboard,76,2025-04-16
142,20,Reports,47,2025-05-23
143,20,APIs,75,2025-05-30
144,20,Automation,24,2025-04-17
145,20,APIs,3,2025-05-12
146,20,APIs,86,2025-05-02
147,20,Automation,45,2025-05-30
148,20,Team Sharing,11,2025-04-25
149,20,Team Sharing,9,2025-05-14
150,20,Export,18,2025-04-15
151,20,Automation,39,2025-04-13
152,20,Reports,51,2025-05-07
153,20,Export,15,2025-04-30
154,20,Reports,26,2025-05-31
155,20,Reports,42,2025-04-28
156,21,Reports,11,2025-01-10
157,21,Team Sharing,78,2025-05-31
158,21,APIs,3,2025-02-09
159,21,Automation,76,2025-02-11
160,21,APIs,22,2025-04-24
161,21,Team Sharing,33,2025-04-01
162,21,Export,66,2025-05-11
163,22,Automation,4,2024-12-24
164,22,APIs,41,2024-12-16
165,22,Export,7,2025-04-14
166,22,Reports,31,2024-11-12
167,22,Reports,40,2024-12-15
168,22,Team Sharing,58,2025-02-25
169,22,APIs,44,2025-05-27
170,23,Team Sharing,96,2025-04-24
171,23,Reports,59,2025-04-19
172,23,Reports,11,2025-04-02
173,24,Automation,5,2024-02-04
174,24,Export,80,2024-03-23
175,24,Dashboard,95,2024-12-19
176,24,Automation,3,2023-11-26
177,24,Team Sharing,49,2024-07-07
178,24,Export,61,2024-08-03
179,24,APIs,50,2024-10-06
180,24,Dashboard,89,2025-03-10
181,25,Team Sharing,90,2024-11-02
182,25,APIs,43,2024-12-28
183,25,Team Sharing,66,2025-02-09
184,25,APIs,53,2025-03-11
185,25,Reports,44,2024-05-28
186,25,Export,45,2024-07-01
187,25,Reports,34,2024-12-19
188,25,Automation,25,2025-01-04
189,25,APIs,37,2025-02-11
190,25,Team Sharing,11,2024-06-06
191,25,APIs,86,2025-02-19
192,25,Dashboard,86,2024-04-10
193,25,Team Sharing,66,2025-01-30
194,26,Dashboard,17,2024-08-22
195,26,Dashboard,32,2025-06-01
196,26,Dashboard,23,2024-02-10
197,26,Team Sharing,9,2024-10-10
198,27,Automation,31,2024-05-17
199,27,Dashboard,10,2024-07-13
200,27,Dashboard,93,2024-06-29
201,27,Dashboard,95,2025-04-01
202,27,Team Sharing,80,2024-05-09
203,28,Export,75,2024-09-30
204,28,Reports,59,2023-12-02
205,28,Reports,43,2025-06-01
206,28,Reports,14,2024-01-09
207,29,Dashboard,8,2024-07-09
208,29,Reports,18,2024-09-05
209,29,Export,96,2023-11-09
210,29,Dashboard,24,2024-12-16
211,29,Dashboard,92,2024-11-04
212,29,Dashboard,1,2024-04-30
213,29,APIs,88,2025-05-02
214,29,Export,27,2023-09-22
215,29,Dashboard,92,2025-05-12
216,29,Dashboard,50,2025-05-05
217,29,Team Sharing,81,2024-02-15
218,29,Automation,25,2025-02-10
219,30,Export,91,2025-04-15
220,30,APIs,78,2025-02-12
221,30,Reports,24,2024-11-10
222,30,APIs,37,2024-08-20
223,30,Reports,87,2025-02-05
224,30,Automation,8,2024-12-05
225,30,APIs,24,2025-03-12
226,30,Automation,1,2025-05-20
227,30,Dashboard,23,2024-08-25
228,30,Export,34,2024-10-11
229,31,Automation,74,2025-03-04
230,31,Export,90,2025-04-05
231,31,Dashboard,90,2024-06-26
232,31,Dashboard,25,2025-04-04
233,31,Export,42,2024-08-19
234,32,Export,21,2025-02-02
235,32,APIs,82,2025-02-21
236,32,Automation,38,2025-05-25
237,32,Automation,53,2025-05-30
238,32,Automation,82,2025-04-23
239,32,Team Sharing,28,2025-06-01
240,32,APIs,33,2025-05-24
241,32,Team Sharing,95,2025-03-31
242,32,Export,68,2025-04-17
243,32,Dashboard,84,2025-04-13
244,32,Reports,33,2025-03-01
245,32,Team Sharing,97,2025-02-20
246,32,Export,9,2025-05-03
247,32,Dashboard,9,2025-03-28
248,32,APIs,45,2025-04-13
249,33,Dashboard,80,2025-05-04
250,33,APIs,11,2025-03-15
251,33,Reports,98,2025-02-28
252,33,Reports,58,2025-04-15
253,33,Dashboard,96,2025-04-21
254,33,Reports,12,2025-05-12
255,33,Team Sharing,76,2025-04-14
256,33,Team Sharing,90,2025-04-12
257,33,Reports,78,2025-02-18
258,33,Reports,9,2025-02-04
259,33,Automation,34,2025-06-02
260,33,Reports,41,2025-04-15
261,33,APIs,46,2025-03-21
262,33,Reports,62,2025-04-17
263,34,APIs,39,2025-03-29
264,34,APIs,41,2025-05-20
265,34,Automation,96,2025-03-30
266,34,Export,30,2025-05-21
267,34,Automation,22,2025-03-22
268,34,Dashboard,89,2025-05-06
269,34,Team Sharing,53,2025-04-24
270,34,APIs,60,2025-03-03
271,35,APIs,60,2025-01-02
272,35,APIs,58,2025-04-13
273,35,Export,19,2024-10-02
274,35,Reports,97,2024-05-25
275,35,APIs,54,2024-10-25
276,35,Dashboard,18,2024-12-19
277,35,Team Sharing,49,2025-03-01
278,35,Reports,20,2025-05-25
279,36,Team Sharing,2,2025-01-13
280,36,APIs,85,2025-01-10
281,36,Export,20,2025-06-05
282,36,Automation,24,2025-02-21
283,36,Export,13,2024-11-13
284,36,Dashboard,51,2025-03-31
285,36,APIs,20,2024-09-23
286,36,Team Sharing,44,2025-01-08
287,36,Export,3,2025-05-01
288,37,APIs,21,2024-12-18
289,37,Team Sharing,71,2025-04-11
290,37,Team Sharing,30,2024-12-29
291,37,Export,63,2025-02-16
292,37,Automation,93,2025-02-23
293,37,APIs,56,2025-01-05
294,37,APIs,21,2025-03-13
295,37,APIs,86,2024-08-26
296,37,Dashboard,46,2025-01-28
297,37,Dashboard,9,2024-08-07
298,38,Reports,62,2024-12-06
299,38,Automation,38,2025-02-06
300,38,Export,31,2024-05-18
301,38,Automation,64,2024-08-07
302,38,Export,54,2024-03-30
303,38,APIs,2,2024-06-19
304,38,Team Sharing,81,2024-09-06
305,38,Export,44,2024-07-17
306,39,Team Sharing,88,2025-05-09
307,39,Automation,55,2025-04-09
