payment_id,user_id,payment_date,amount,payment_method,status
1,1,2023-12-03,49,Credit Card,Paid
2,1,2024-01-02,49,Bank Transfer,Paid
3,1,2024-02-01,49,Credit Card,Paid
4,1,2024-03-02,49,PayPal,Failed
5,1,2024-04-01,49,PayPal,Paid
6,1,2024-05-01,49,PayPal,Failed
7,2,2025-01-15,49,Credit Card,Paid
8,2,2025-02-14,49,Credit Card,Paid
9,2,2025-03-16,49,PayPal,Failed
10,2,2025-04-15,49,PayPal,Paid
11,2,2025-05-15,49,PayPal,Failed
12,2,2025-06-14,49,Credit Card,Paid
13,2,2025-07-14,49,Bank Transfer,Paid
14,2,2025-08-13,49,PayPal,Failed
15,2,2025-09-12,49,Credit Card,Paid
16,2,2025-10-12,49,Bank Transfer,Failed
17,2,2025-11-11,49,Credit Card,Paid
18,2,2025-12-11,49,PayPal,Failed
19,3,2024-09-16,99,PayPal,Paid
20,3,2024-10-16,99,PayPal,Paid
21,3,2024-11-15,99,PayPal,Paid
22,3,2024-12-15,99,Credit Card,Failed
23,3,2025-01-14,99,PayPal,Paid
24,3,2025-02-13,99,Bank Transfer,Paid
25,3,2025-03-15,99,Credit Card,Failed
26,3,2025-04-14,99,PayPal,Failed
27,3,2025-05-14,99,Credit Card,Paid
28,3,2025-06-13,99,Credit Card,Paid
29,3,2025-07-13,99,PayPal,Paid
30,3,2025-08-12,99,Bank Transfer,Failed
31,3,2025-09-11,99,Bank Transfer,Paid
32,3,2025-10-11,99,PayPal,Failed
33,3,2025-11-10,99,PayPal,Paid
34,3,2025-12-10,99,PayPal,Paid
35,3,2026-01-09,99,Bank Transfer,Failed
36,3,2026-02-08,99,Bank Transfer,Failed
37,3,2026-03-10,99,Credit Card,Failed
38,3,2026-04-09,99,Credit Card,Paid
39,3,2026-05-09,99,Credit Card,Failed
40,3,2026-06-08,99,Bank Transfer,Failed
41,3,2026-07-08,99,PayPal,Paid
42,3,2026-08-07,99,Credit Card,Failed
43,4,2023-07-11,99,Credit Card,Failed
44,4,2023-08-10,99,Credit Card,Failed
45,4,2023-09-09,99,Bank Transfer,Paid
46,4,2023-10-09,99,Credit Card,Paid
47,4,2023-11-08,99,Bank Transfer,Paid
48,4,2023-12-08,99,Bank Transfer,Failed
49,4,2024-01-07,99,PayPal,Failed
50,4,2024-02-06,99,Bank Transfer,Paid
51,4,2024-03-07,99,PayPal,Paid
52,4,2024-04-06,99,Bank Transfer,Paid
53,4,2024-05-06,99,PayPal,Paid
54,4,2024-06-05,99,Bank Transfer,Failed
55,4,2024-07-05,99,Bank Transfer,Paid
56,4,2024-08-04,99,Bank Transfer,Failed
57,4,2024-09-03,99,Bank Transfer,Failed
58,4,2024-10-03,99,PayPal,Failed
59,4,2024-11-02,99,PayPal,Paid
60,4,2024-12-02,99,Credit Card,Failed
61,4,2025-01-01,99,PayPal,Paid
62,4,2025-01-31,99,PayPal,Failed
63,4,2025-03-02,99,Bank Transfer,Failed
64,4,2025-04-01,99,PayPal,Failed
65,5,2024-12-02,99,Credit Card,Failed
66,5,2025-01-01,99,Bank Transfer,Paid
67,5,2025-01-31,99,Bank Transfer,Paid
68,5,2025-03-02,99,Credit Card,Paid
69,5,2025-04-01,99,Credit Card,Paid
70,5,2025-05-01,99,Bank Transfer,Failed
71,5,2025-05-31,99,PayPal,Failed
72,5,2025-06-30,99,Bank Transfer,Failed
73,5,2025-07-30,99,Bank Transfer,Failed
74,5,2025-08-29,99,Bank Transfer,Paid
75,5,2025-09-28,99,Credit Card,Paid
76,5,2025-10-28,99,Bank Transfer,Failed
77,5,2025-11-27,99,Credit Card,Failed
78,5,2025-12-27,99,Bank Transfer,Paid
79,5,2026-01-26,99,Credit Card,Paid
80,5,2026-02-25,99,Credit Card,Paid
81,5,2026-03-27,99,Bank Transfer,Failed
82,5,2026-04-26,99,PayPal,Paid
83,5,2026-05-26,99,PayPal,Paid
84,5,2026-06-25,99,PayPal,Paid
85,5,2026-07-25,99,PayPal,Paid
86,6,2023-11-30,49,Credit Card,Failed
87,6,2023-12-30,49,PayPal,Failed
88,6,2024-01-29,49,Credit Card,Paid
89,6,2024-02-28,49,Credit Card,Failed
90,6,2024-03-29,49,Credit Card,Failed
91,6,2024-04-28,49,Credit Card,Paid
92,6,2024-05-28,49,Bank Transfer,Failed
93,6,2024-06-27,49,PayPal,Paid
94,6,2024-07-27,49,Bank Transfer,Paid
95,7,2023-09-24,49,Credit Card,Failed
96,7,2023-10-24,49,Credit Card,Failed
97,7,2023-11-23,49,PayPal,Failed
98,7,2023-12-23,49,Credit Card,Paid
99,7,2024-01-22,49,PayPal,Failed
100,7,2024-02-21,49,Credit Card,Paid
101,7,2024-03-22,49,Bank Transfer,Failed
102,7,2024-04-21,49,Bank Transfer,Failed
103,7,2024-05-21,49,Bank Transfer,Failed
104,7,2024-06-20,49,Credit Card,Paid
105,7,2024-07-20,49,PayPal,Paid
106,8,2023-11-23,19,Bank Transfer,Paid
107,8,2023-12-23,19,PayPal,Paid
108,8,2024-01-22,19,Credit Card,Failed
109,8,2024-02-21,19,PayPal,Paid
110,8,2024-03-22,19,Bank Transfer,Paid
111,8,2024-04-21,19,Credit Card,Paid
112,8,2024-05-21,19,Credit Card,Failed
113,8,2024-06-20,19,Bank Transfer,Paid
114,8,2024-07-20,19,Bank Transfer,Failed
115,8,2024-08-19,19,Bank Transfer,Paid
116,9,2024-06-03,99,Bank Transfer,Paid
117,9,2024-07-03,99,Bank Transfer,Paid
118,9,2024-08-02,99,Bank Transfer,Paid
119,9,2024-09-01,99,Credit Card,Paid
120,9,2024-10-01,99,Bank Transfer,Paid
121,9,2024-10-31,99,Credit Card,Failed
122,9,2024-11-30,99,Bank Transfer,Paid
123,9,2024-12-30,99,Credit Card,Failed
124,9,2025-01-29,99,Credit Card,Failed
125,9,2025-02-28,99,Credit Card,Paid
126,9,2025-03-30,99,Credit Card,Failed
127,9,2025-04-29,99,Credit Card,Failed
128,9,2025-05-29,99,PayPal,Paid
129,9,2025-06-28,99,Credit Card,Failed
130,9,2025-07-28,99,PayPal,Paid
131,9,2025-08-27,99,Credit Card,Paid
132,9,2025-09-26,99,Bank Transfer,Paid
133,10,2024-05-08,49,Credit Card,Failed
134,10,2024-06-07,49,Credit Card,Failed
135,10,2024-07-07,49,Bank Transfer,Paid
136,10,2024-08-06,49,Bank Transfer,Paid
137,10,2024-09-05,49,Bank Transfer,Failed
138,10,2024-10-05,49,Credit Card,Paid
139,10,2024-11-04,49,PayPal,Paid
140,10,2024-12-04,49,Credit Card,Paid
141,10,2025-01-03,49,PayPal,Paid
142,10,2025-02-02,49,Bank Transfer,Paid
143,10,2025-03-04,49,Credit Card,Paid
144,10,2025-04-03,49,Credit Card,Paid
145,11,2024-01-23,99,Bank Transfer,Failed
146,11,2024-02-22,99,PayPal,Paid
147,11,2024-03-23,99,PayPal,Paid
148,11,2024-04-22,99,Credit Card,Paid
149,11,2024-05-22,99,Credit Card,Paid
150,11,2024-06-21,99,Bank Transfer,Paid
151,11,2024-07-21,99,Bank Transfer,Failed
152,11,2024-08-20,99,Bank Transfer,Paid
153,11,2024-09-19,99,Bank Transfer,Paid
154,11,2024-10-19,99,Credit Card,Paid
155,12,2025-05-19,19,Credit Card,Failed
156,12,2025-06-18,19,Credit Card,Failed
157,12,2025-07-18,19,Credit Card,Failed
158,12,2025-08-17,19,PayPal,Failed
159,12,2025-09-16,19,PayPal,Paid
160,12,2025-10-16,19,Credit Card,Paid
161,12,2025-11-15,19,Bank Transfer,Paid
162,12,2025-12-15,19,PayPal,Failed
163,12,2026-01-14,19,Credit Card,Paid
164,12,2026-02-13,19,Bank Transfer,Paid
165,12,2026-03-15,19,PayPal,Paid
166,12,2026-04-14,19,Credit Card,Failed
167,12,2026-05-14,19,PayPal,Failed
168,12,2026-06-13,19,Credit Card,Paid
169,12,2026-07-13,19,PayPal,Paid
170,12,2026-08-12,19,Credit Card,Paid
171,12,2026-09-11,19,PayPal,Paid
172,12,2026-10-11,19,PayPal,Failed
173,12,2026-11-10,19,Bank Transfer,Paid
174,12,2026-12-10,19,Bank Transfer,Paid
175,12,2027-01-09,19,Bank Transfer,Paid
176,12,2027-02-08,19,PayPal,Paid
177,12,2027-03-10,19,Credit Card,Paid
178,12,2027-04-09,19,Credit Card,Paid
179,13,2023-08-11,99,Bank Transfer,Failed
180,13,2023-09-10,99,PayPal,Failed
181,13,2023-10-10,99,PayPal,Paid
182,13,2023-11-09,99,Credit Card,Paid
183,13,2023-12-09,99,Credit Card,Paid
184,13,2024-01-08,99,Credit Card,Failed
185,13,2024-02-07,99,Credit Card,Paid
186,13,2024-03-08,99,PayPal,Paid
187,13,2024-04-07,99,Credit Card,Failed
188,13,2024-05-07,99,Bank Transfer,Paid
189,13,2024-06-06,99,Credit Card,Paid
190,13,2024-07-06,99,Credit Card,Failed
191,13,2024-08-05,99,Bank Transfer,Paid
192,13,2024-09-04,99,PayPal,Failed
193,14,2023-11-17,49,Credit Card,Paid
194,14,2023-12-17,49,Bank Transfer,Failed
195,14,2024-01-16,49,PayPal,Paid
196,14,2024-02-15,49,PayPal,Paid
197,14,2024-03-16,49,PayPal,Paid
198,14,2024-04-15,49,Credit Card,Paid
199,15,2024-05-11,49,Bank Transfer,Failed
200,15,2024-06-10,49,Bank Transfer,Paid
201,15,2024-07-10,49,Credit Card,Paid
202,15,2024-08-09,49,Credit Card,Paid
203,15,2024-09-08,49,PayPal,Paid
204,15,2024-10-08,49,PayPal,Paid
205,16,2023-07-28,49,Credit Card,Paid
206,16,2023-08-27,49,Credit Card,Failed
207,16,2023-09-26,49,Credit Card,Paid
208,16,2023-10-26,49,Bank Transfer,Paid
209,16,2023-11-25,49,Bank Transfer,Paid
210,16,2023-12-25,49,PayPal,Paid
211,17,2024-06-07,49,Bank Transfer,Failed
212,17,2024-07-07,49,Credit Card,Failed
213,17,2024-08-06,49,PayPal,Paid
214,17,2024-09-05,49,Credit Card,Failed
215,17,2024-10-05,49,PayPal,Failed
216,17,2024-11-04,49,Credit Card,Paid
217,17,2024-12-04,49,PayPal,Paid
218,17,2025-01-03,49,PayPal,Failed
219,17,2025-02-02,49,Bank Transfer,Failed
220,17,2025-03-04,49,Bank Transfer,Failed
221,17,2025-04-03,49,Credit Card,Failed
222,17,2025-05-03,49,Credit Card,Paid
223,17,2025-06-02,49,Bank Transfer,Failed
224,17,2025-07-02,49,PayPal,Failed
225,17,2025-08-01,49,Bank Transfer,Paid
226,17,2025-08-31,49,PayPal,Paid
227,17,2025-09-30,49,PayPal,Paid
228,17,2025-10-30,49,Bank Transfer,Paid
229,17,2025-11-29,49,PayPal,Failed
230,17,2025-12-29,49,Bank Transfer,Paid
231,17,2026-01-28,49,Credit Card,Paid
232,17,2026-02-27,49,Credit Card,Paid
233,17,2026-03-29,49,PayPal,Paid
234,18,2023-07-23,49,Credit Card,Failed
235,18,2023-08-22,49,PayPal,Failed
236,18,2023-09-21,49,Bank Transfer,Paid
237,18,2023-10-21,49,Credit Card,Paid
238,18,2023-11-20,49,PayPal,Failed
239,18,2023-12-20,49,Credit Card,Paid
240,18,2024-01-19,49,PayPal,Paid
241,18,2024-02-18,49,Bank Transfer,Failed
242,19,2024-05-15,19,Bank Transfer,Paid
243,19,2024-06-14,19,Bank Transfer,Paid
244,19,2024-07-14,19,Credit Card,Failed
245,19,2024-08-13,19,PayPal,Paid
246,19,2024-09-12,19,Bank Transfer,Failed
247,19,2024-10-12,19,PayPal,Failed
248,19,2024-11-11,19,Credit Card,Failed
249,19,2024-12-11,19,Credit Card,Paid
250,19,2025-01-10,19,PayPal,Paid
251,19,2025-02-09,19,PayPal,Paid
252,20,2025-04-07,99,Credit Card,Paid
253,20,2025-05-07,99,Credit Card,Paid
